Rk,Date,,Opponent,Result,1-19,20-29,30-39,40-49,50+,LNG,FG%,FG,XP,PTS
9,2019-11-02,@,Southern California,W (56-24),0-0,0-0,0-0,0-0,0-0,0,0,0-0,8-8,8
10,2019-11-16,,Arizona,W (34-6),0-0,0-1,0-0,0-0,0-0,0,0,0-1,4-5,4
11,2019-11-23,@,Arizona State,L (28-31),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-4,4
12,2019-11-30,,Oregon State,W (24-10),0-0,0-1,1-1,0-0,0-0,32,50,1-2,3-3,6
13,2019-12-06,N,Utah,W (37-15),0-0,2-2,1-1,0-0,0-0,30,100,3-3,4-4,13
14,2020-01-01,N,Wisconsin*,W (28-27),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-4,4
1,2018-09-01,,Bowling Green State,W (58-24),0-0,0-0,0-0,0-0,0-0,0,0,0-0,8-8,8
2,2018-09-08,,Portland State,W (62-14),0-0,0-0,0-0,0-0,0-0,0,0,0-0,8-9,8
3,2018-09-15,,San Jose State,W (35-22),0-0,0-0,0-0,0-1,0-0,0,0,0-1,5-5,5
4,2018-09-22,,Stanford,L (31-38),0-0,0-0,1-1,0-0,0-0,38,100,1-1,4-4,7
5,2018-09-29,@,California,W (42-24),0-0,0-0,0-0,0-1,0-0,0,0,0-1,6-6,6
6,2018-10-13,,Washington,W (30-27),0-0,0-0,1-1,0-1,0-0,39,50,1-2,3-3,6
7,2018-10-20,@,Washington State,L (20-34),0-0,1-1,1-1,0-0,0-0,32,100,2-2,2-2,8
8,2018-10-27,@,Arizona,L (15-44),0-0,0-0,0-0,0-0,0-0,0,0,0-0,1-1,1
9,2018-11-03,,UCLA,W (42-21),0-0,0-1,0-0,0-0,0-0,0,0,0-1,6-6,6
10,2018-11-10,@,Utah,L (25-32),0-0,0-0,1-2,0-0,0-0,34,50,1-2,2-2,5
11,2018-11-17,,Arizona State,W (31-29),0-0,1-1,0-0,0-0,0-0,28,100,1-1,4-4,7
12,2018-11-23,@,Oregon State,W (55-15),0-0,0-0,0-0,0-0,0-0,0,0,0-0,7-7,7
13,2018-12-31,N,Michigan State*,W (7-6),0-0,0-0,0-0,0-0,0-0,0,0,0-0,1-1,1
1,2017-09-02,,Southern Utah,W (77-21),0-0,0-0,0-0,0-0,0-0,0,0,0-0,11-11,11
2,2017-09-09,,Nebraska,W (42-35),0-0,0-0,0-0,0-1,0-0,0,0,0-1,6-6,6
3,2017-09-16,@,Wyoming,W (49-13),0-0,0-0,0-0,0-0,0-0,0,0,0-0,7-7,7
4,2017-09-23,@,Arizona State,L (35-37),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
5,2017-09-30,,California,W (45-24),0-0,0-0,0-0,1-1,0-0,42,100,1-1,6-6,9
6,2017-10-07,,Washington State,L (10-33),0-0,1-1,0-0,0-0,0-0,20,100,1-1,1-1,4
7,2017-10-14,@,Stanford,L (7-49),0-0,0-0,0-0,0-0,0-0,0,0,0-0,1-1,1
8,2017-10-21,@,UCLA,L (14-31),0-0,0-0,0-1,0-0,0-0,0,0,0-1,2-2,2
9,2017-10-28,,Utah,W (41-20),0-0,1-1,1-1,0-0,0-0,38,100,2-2,5-5,11
10,2017-11-04,@,Washington,L (3-38),0-0,0-0,1-1,0-0,0-0,30,100,1-1,0-0,3
11,2017-11-18,,Arizona,W (48-28),0-0,1-1,0-1,1-1,0-0,40,66.7,2-3,6-6,12
12,2017-11-25,,Oregon State,W (69-10),0-0,1-1,1-1,0-0,0-0,31,100,2-2,9-9,15
13,2017-12-16,,Boise State*,L (28-38),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-4,4
1,2016-09-03,,California-Davis,W (53-28),0-0,0-0,1-1,0-0,0-0,31,100,1-1,2-2,5
2,2016-09-10,,Virginia,W (44-26),0-0,1-1,0-0,0-0,0-0,20,100,1-1,5-5,8
3,2016-09-17,@,Nebraska,L (32-35),0-0,0-0,0-0,0-0,0-0,0,0,0-0,3-3,3
4,2016-09-24,,Colorado,L (38-41),0-0,0-0,0-0,1-1,0-0,41,100,1-1,5-5,8
5,2016-10-01,@,Washington State,L (33-51),0-0,0-0,0-0,0-0,0-0,0,0,0-0,3-3,3
6,2016-10-08,,Washington,L (21-70),0-0,0-0,0-0,0-0,0-0,0,0,0-0,3-3,3
7,2016-10-21,@,California,L (49-52),0-0,0-0,0-0,0-0,0-0,0,0,0-0,7-7,7
8,2016-10-29,,Arizona State,W (54-35),0-0,1-1,3-3,0-1,0-0,37,80,4-5,6-6,18
9,2016-11-05,@,Southern California,L (20-45),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-3,2
10,2016-11-12,,Stanford,L (27-52),0-0,0-0,0-0,0-1,0-0,0,0,0-1,3-3,3
11,2016-11-19,@,Utah,W (30-28),0-0,0-0,0-1,1-1,0-0,47,50,1-2,3-3,6
12,2016-11-26,@,Oregon State,L (24-34),0-0,0-0,0-0,1-1,0-0,46,100,1-1,3-3,6
1,2015-09-05,,Eastern Washington,W (61-42),0-0,0-0,2-2,0-0,0-0,38,100,2-2,7-7,13
2,2015-09-12,@,Michigan State,L (28-31),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-4,4
3,2015-09-19,,Georgia State,W (61-28),0-0,1-1,0-0,3-3,0-0,40,100,4-4,7-7,19
4,2015-09-26,,Utah,L (20-62),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-2,2
5,2015-10-03,@,Colorado,W (41-24),0-0,0-0,2-2,0-0,0-0,39,100,2-2,5-5,11
6,2015-10-10,,Washington State,L (38-45),0-0,1-1,0-0,0-0,0-0,26,100,1-1,5-5,8
7,2015-10-17,@,Washington,W (26-20),0-0,2-2,0-1,0-0,0-0,28,66.7,2-3,2-2,8
8,2015-10-29,@,Arizona State,W (61-55),0-0,1-1,1-1,0-0,0-0,37,100,2-2,7-7,13
9,2015-11-07,,California,W (44-28),1-1,1-1,0-0,1-1,0-0,41,100,3-3,5-5,14
10,2015-11-14,@,Stanford,W (38-36),0-0,0-0,1-1,0-0,0-0,31,100,1-1,5-5,8
11,2015-11-21,,Southern California,W (48-28),0-0,1-1,1-1,0-0,0-0,37,100,2-2,6-6,12
12,2015-11-27,,Oregon State,W (52-42),0-0,1-1,0-1,0-0,0-0,25,50,1-2,7-7,10
13,2016-01-02,N,TCU*,L (41-47),0-0,0-0,0-0,2-2,0-0,47,100,2-2,5-5,11
1,2014-08-30,,South Dakota,W (62-13),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-7,6
2,2014-09-06,,Michigan State,W (46-27),0-0,1-1,0-0,0-0,0-0,28,100,1-1,5-5,8
3,2014-09-13,,Wyoming,W (48-14),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-7,6
4,2014-09-20,@,Washington State,W (38-31),0-0,0-0,1-2,0-0,0-0,34,50,1-2,5-5,8
5,2014-10-02,,Arizona,L (24-31),0-0,1-1,0-0,0-0,0-0,21,100,1-1,3-3,6
6,2014-10-11,@,UCLA,W (42-30),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-5,4
7,2014-10-18,,Washington,W (45-20),0-0,1-1,0-1,0-0,0-0,26,50,1-2,6-6,9
8,2014-10-24,@,California,W (59-41),0-0,1-1,0-0,0-0,0-0,23,100,1-1,8-8,11
9,2014-11-01,,Stanford,W (45-16),0-0,0-0,0-0,1-1,0-0,40,100,1-1,6-6,9
10,2014-11-08,@,Utah,W (51-27),0-0,0-0,2-2,1-1,0-0,42,100,3-3,6-6,15
11,2014-11-22,,Colorado,W (44-10),0-0,1-1,0-0,0-0,0-0,25,100,1-1,5-5,8
12,2014-11-29,@,Oregon State,W (47-19),0-0,1-1,1-1,0-0,0-0,30,100,2-2,5-5,11
13,2014-12-05,N,Arizona,W (51-13),0-0,1-2,2-2,0-0,0-0,34,75,3-4,6-6,15
14,2015-01-01,N,Florida State*,W (59-20),0-0,1-1,0-0,0-0,0-0,28,100,1-1,6-7,9
15,2015-01-12,N,Ohio State*,L (20-42),0-0,2-2,0-0,0-0,0-0,26,100,2-2,2-2,8
1,2013-08-31,,Nicholls State,W (66-3),0-0,1-1,0-0,0-0,0-0,29,100,1-1,9-9,12
2,2013-09-07,@,Virginia,W (59-10),0-0,1-1,0-0,0-0,0-0,29,100,1-1,6-7,9
3,2013-09-14,,Tennessee,W (59-14),0-0,0-0,1-2,0-0,0-0,0,0,1-2,8-8,11
4,2013-09-28,,California,W (55-16),0-0,0-0,0-0,0-0,0-0,0,0,0-0,3-4,3
5,2013-10-05,@,Colorado,W (57-16),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-4,4
6,2013-10-12,@,Washington,W (45-24),0-0,0-0,1-1,0-0,0-0,34,100,1-1,3-3,6
7,2013-10-19,,Washington State,W (62-38),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-4,4
8,2013-10-26,,UCLA,W (42-14),0-0,0-0,0-1,0-0,0-0,0,0,0-1,3-3,3
9,2013-11-07,@,Stanford,L (20-26),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-2,2
10,2013-11-16,,Utah,W (44-21),0-0,0-0,1-1,0-0,0-0,31,100,1-1,5-6,8
11,2013-11-23,@,Arizona,L (16-42),0-0,0-0,1-1,0-0,0-0,33,100,1-1,1-1,4
12,2013-11-29,,Oregon State,W (36-35),0-0,1-1,0-0,0-1,0-0,20,50,1-2,3-3,6
13,2013-12-30,N,Texas*,W (30-7),0-0,1-1,2-3,0-0,0-0,39,75,3-4,3-3,12
