Rk,Date,raw_location,Opponent,Result,Temp (F),Precipitation (in),Windspeed (mph),Altitude,Distance
1,2016-09-03,N,Alabama,L (6-52),70,0,0,184,1223
2,2016-09-10,H,Utah State,W (45-7),69.3,0,8.2,51,0
3,2016-09-17,@,Stanford,L (10-27),64.1,0,12.2,30,312.15
4,2016-09-23,@,Utah,L (27-31),48.9,0.616,14.6,"1,430",586.62
5,2016-10-01,H,Arizona State,W (41-20),71.6,0,7.6,51,0
6,2016-10-08,H,Colorado,W (21-17),73.1,0,9.1,51,0
7,2016-10-15,@,Arizona,W (48-14),63.4,0,19.7,728,452.59
8,2016-10-27,H,California,W (45-24),68.2,0,4.2,51,0
9,2016-11-05,H,Oregon,W (45-20),65.5,0.039,8.4,51,0
10,2016-11-12,@,Washington,W (26-13),56,0.079,21.2,5,963.28
11,2016-11-19,@,UCLA,W (36-14),59.7,0.001,7.7,88,9.78
12,2016-11-26,H,Notre Dame,W (45-27),52.8,0.127,8.2,51,0
13,2017-01-02,N,Penn State*,W (52-49),53.9,0,5.3,88,9.78
1,2015-09-05,H,Arkansas State,W (55-6),72,0,11.7,51,0
2,2015-09-12,H,Idaho,W (59-9),81.5,0,7.9,51,0
3,2015-09-19,H,Stanford,L (31-41),77.3,0,5.5,51,0
4,2015-09-26,@,Arizona State,W (42-14),92.8,0,15.2,366,377.2
5,2015-10-08,H,Washington,L (12-17),75.6,0,6.6,51,0
6,2015-10-17,@,Notre Dame,L (31-41),41.2,0,19.4,221,1825.61
7,2015-10-24,H,Utah,W (42-24),75.1,0,5.8,51,0
8,2015-10-31,@,California,W (27-21),64,0,13.9,102,338.2
9,2015-11-07,H,Arizona,W (38-30),64.6,0,9.7,51,0
10,2015-11-13,@,Colorado,W (27-24),38.9,0,5.8,"1,655",834.53
11,2015-11-21,@,Oregon,L (28-48),36.5,0,12.6,131,732.25
12,2015-11-28,H,UCLA,W (40-21),55.7,0,5.5,51,0
13,2015-12-05,N,Stanford,L (22-41),49.4,0,5.1,609.9,228
14,2015-12-30,N,Wisconsin*,L (21-23),52.3,0,9.2,19,111
1,2014-08-30,H,Fresno State,W (52-13),74.5,0,8.6,51,0
2,2014-09-06,@,Stanford,W (13-10),74,0,15,30,312.15
3,2014-09-13,@,Boston College,L (31-37),66.5,0,22,40,2594.13
4,2014-09-27,H,Oregon State,W (35-10),68.6,0,8.8,51,0
5,2014-10-04,H,Arizona State,L (34-38),79.3,0,7.4,51,0
6,2014-10-11,@,Arizona,W (28-26),80.5,0,8.7,728,452.59
7,2014-10-18,H,Colorado,W (56-28),68.3,0,7.5,51,0
8,2014-10-25,@,Utah,L (21-24),67,0,25.2,"1,430",586.62
9,2014-11-01,@,Washington State,W (44-17),43.9,0.102,20.7,768,878.95
10,2014-11-13,H,California,W (38-30),61.9,0.002,6.8,51,0
11,2014-11-22,@,UCLA,L (20-38),61.2,0,7.9,88,9.78
12,2014-11-29,H,Notre Dame,W (49-14),62,0,8.1,51,0
13,2014-12-27,N,Nebraska*,W (45-42),11.7,0,16.6,19,111
1,2013-08-29,@,Hawaii,W (30-13),26.3,0.955,24.5,31,2558.44
2,2013-09-07,H,Washington State,L (7-10),77.1,0,9.5,51,0
3,2013-09-14,H,Boston College,W (35-7),72.5,0,7.6,51,0
4,2013-09-21,H,Utah State,W (17-14),68,0,11.2,51,0
5,2013-09-28,@,Arizona State,L (41-62),78.3,0,10.7,366,377.2
6,2013-10-10,H,Arizona,W (38-31),60.2,0,8.5,51,0
7,2013-10-19,@,Notre Dame,L (10-14),46,0.0695,10.2,221,1825.61
8,2013-10-26,H,Utah,W (19-3),63.3,0,6.8,51,0
9,2013-11-01,@,Oregon State,W (31-14),11.3,0.006,9.3,70,768.56
10,2013-11-09,@,California,W (62-28),12.9,0.077,11.3,102,338.2
11,2013-11-16,H,Stanford,W (20-17),61.8,0,6.3,51,0
