Rk,Date,School,,Opponent,,Punts,Yds,Avg
7,2014-10-18,Washington,@,Oregon,L,3,132,44
8,2014-10-25,Washington,,Arizona State,L,7,211,30.1
9,2014-11-01,Washington,@,Colorado,W,4,189,47.3
10,2014-11-08,Washington,,UCLA,L,4,190,47.5
11,2014-11-15,Washington,@,Arizona,L,5,225,45
12,2014-11-22,Washington,,Oregon State,W,3,133,44.3
13,2014-11-29,Washington,@,Washington State,W,4,172,43
14,2015-01-02,Washington,N,Oklahoma State*,L,3,142,47.3
3,2013-09-21,Washington,,Idaho State,W,1,36,36
5,2013-10-05,Washington,@,Stanford,L,7,276,39.4
