Rk,Date,raw_location,Opponent,Result,Drops
2,2020-11-21,H,Arizona,W (44-27),2
3,2020-11-28,H,Utah,W (24-21),3
4,2020-12-05,H,Stanford,L (26-31),2
1,2019-08-31,H,Eastern Washington,W (47-14),1
2,2019-09-07,H,California,L (19-20),4
3,2019-09-14,H,Hawaii,W (52-20),3
4,2019-09-21,@,Brigham Young,W (45-19),0
5,2019-09-28,H,Southern California,W (28-14),1
6,2019-10-05,@,Stanford,L (13-23),5
7,2019-10-12,@,Arizona,W (51-27),1
8,2019-10-19,H,Oregon,L (31-35),1
9,2019-11-02,H,Utah,L (28-33),6
10,2019-11-08,@,Oregon State,W (19-7),4
11,2019-11-23,@,Colorado,L (14-20),2
12,2019-11-29,H,Washington State,W (31-13),1
13,2019-12-21,N,Boise State*,W (38-7),2
1,2018-09-01,N,Auburn,L (16-21),2
2,2018-09-08,H,North Dakota,W (45-3),1
3,2018-09-15,@,Utah,W (21-7),0
4,2018-09-22,H,Arizona State,W (27-20),2
5,2018-09-29,H,Brigham Young,W (35-7),1
6,2018-10-06,@,UCLA,W (31-24),1
7,2018-10-13,@,Oregon,L (27-30),2
8,2018-10-20,H,Colorado,W (27-13),2
9,2018-10-27,@,California,L (10-12),2
10,2018-11-03,H,Stanford,W (27-23),0
11,2018-11-17,H,Oregon State,W (42-23),1
12,2018-11-23,@,Washington State,W (28-15),0
13,2018-11-30,N,Utah,W (10-3),1
14,2019-01-01,N,Ohio State*,L (23-28),3
1,2017-09-01,@,Rutgers,W (30-14),0
2,2017-09-09,H,Montana,W (63-7),0
3,2017-09-16,H,Fresno State,W (48-16),2
4,2017-09-23,@,Colorado,W (37-10),1
5,2017-09-30,@,Oregon State,W (42-7),2
6,2017-10-07,H,California,W (38-7),0
7,2017-10-14,@,Arizona State,L (7-13),0
8,2017-10-28,H,UCLA,W (44-23),0
9,2017-11-04,H,Oregon,W (38-3),1
10,2017-11-10,@,Stanford,L (22-30),0
11,2017-11-18,H,Utah,W (33-30),0
12,2017-11-25,H,Washington State,W (41-14),1
13,2017-12-30,@,Penn State*,L (28-35),0
1,2016-09-03,H,Rutgers,W (48-13),1
2,2016-09-10,H,Idaho,W (59-14),1
3,2016-09-17,H,Portland State,W (41-3),0
4,2016-09-24,@,Arizona,W (35-28),0
5,2016-09-30,H,Stanford,W (44-6),1
6,2016-10-08,@,Oregon,W (70-21),0
7,2016-10-22,H,Oregon State,W (41-17),0
8,2016-10-29,@,Utah,W (31-24),2
9,2016-11-05,@,California,W (66-27),2
10,2016-11-12,H,Southern California,L (13-26),2
11,2016-11-19,H,Arizona State,W (44-18),2
12,2016-11-25,@,Washington State,W (45-17),1
13,2016-12-02,N,Colorado,W (41-10),2
14,2016-12-31,N,Alabama*,L (7-24),0
1,2015-09-04,@,Boise State,L (13-16),0
2,2015-09-12,H,Sacramento State,W (49-0),3
3,2015-09-19,H,Utah State,W (31-17),1
4,2015-09-26,H,California,L (24-30),1
5,2015-10-08,@,Southern California,W (17-12),3
6,2015-10-17,H,Oregon,L (20-26),2
7,2015-10-24,@,Stanford,L (14-31),2
8,2015-10-31,H,Arizona,W (49-3),2
9,2015-11-07,H,Utah,L (23-34),3
10,2015-11-14,@,Arizona State,L (17-27),6
11,2015-11-21,@,Oregon State,W (52-7),0
12,2015-11-27,H,Washington State,W (45-10),1
13,2015-12-26,N,Southern Mississippi*,W (44-31),3
1,2014-08-30,@,Hawaii,W (17-16),3
2,2014-09-06,H,Eastern Washington,W (59-52),1
3,2014-09-13,H,Illinois,W (44-19),0
4,2014-09-20,H,Georgia State,W (45-14),1
5,2014-09-27,H,Stanford,L (13-20),1
6,2014-10-11,@,California,W (31-7),0
7,2014-10-18,@,Oregon,L (20-45),3
8,2014-10-25,H,Arizona State,L (10-24),3
9,2014-11-01,@,Colorado,W (38-23),0
10,2014-11-08,H,UCLA,L (30-44),0
11,2014-11-15,@,Arizona,L (26-27),2
12,2014-11-22,H,Oregon State,W (37-13),1
13,2014-11-29,@,Washington State,W (31-13),2
14,2015-01-02,N,Oklahoma State*,L (22-30),1
1,2013-08-31,H,Boise State,W (38-6),NA
2,2013-09-14,N,Illinois,W (34-24),NA
3,2013-09-21,H,Idaho State,W (56-0),NA
4,2013-09-28,H,Arizona,W (31-13),NA
5,2013-10-05,@,Stanford,L (28-31),NA
6,2013-10-12,H,Oregon,L (24-45),NA
7,2013-10-19,@,Arizona State,L (24-53),NA
8,2013-10-26,H,California,W (41-17),NA
9,2013-11-09,H,Colorado,W (59-7),NA
10,2013-11-15,@,UCLA,L (31-41),NA
11,2013-11-23,@,Oregon State,W (69-27),NA
12,2013-11-29,H,Washington State,W (27-17),NA
13,2013-12-27,N,Brigham Young*,W (31-16),NA
