Rk,Date,School,,Opponent,,Punts,Yds,Avg
1,2023-09-02,Oregon,,Portland State,W,1,58,58
2,2023-09-09,Oregon,@,Texas Tech,W,2,111,55.5
3,2023-09-16,Oregon,,Hawaii,W,2,102,51
4,2023-09-23,Oregon,,Colorado,W,2,96,48
5,2023-09-30,Oregon,@,Stanford,W,2,101,50.5
6,2023-10-14,Oregon,@,Washington,L,2,90,45
7,2023-10-21,Oregon,,Washington State,W,2,79,39.5
8,2023-10-28,Oregon,@,Utah,W,5,250,50
9,2023-11-04,Oregon,,California,W,2,109,54.5
10,2023-11-11,Oregon,,Southern California,W,0,0,
11,2023-11-18,Oregon,@,Arizona State,W,0,0,
12,2023-11-24,Oregon,,Oregon State,W,2,69,34.5
13,2023-12-01,Oregon,N,Washington,L,4,200,50
14,2024-01-01,Oregon,N,Liberty*,W,1,42,42
1,2022-09-03,Oregon,N,Georgia,L,3,122,40.7
2,2022-09-10,Oregon,,Eastern Washington,W,1,39,39
3,2022-09-17,Oregon,,Brigham Young,W,2,68,34
4,2022-09-24,Oregon,@,Washington State,W,1,32,32
5,2022-10-01,Oregon,,Stanford,W,5,217,43.4
6,2022-10-08,Oregon,@,Arizona,W,2,99,49.5
7,2022-10-22,Oregon,,UCLA,W,1,37,37
8,2022-10-29,Oregon,@,California,W,2,72,36
3,2022-11-05,Oregon,@,Colorado,W,2,65,32.5
4,2022-11-19,Oregon,,Utah,W,4,153,38.3
5,2022-11-26,Oregon,@,Oregon State,L,1,34,34
13,2022-12-28,Oregon,N,North Carolina*,W,2,87,43.5
1,2021-09-04,Oregon,,Fresno State,W,5,234,46.8
2,2021-09-11,Oregon,@,Ohio State,W,7,273,39
3,2021-09-18,Oregon,,Stony Brook,W,3,138,46
4,2021-09-25,Oregon,,Arizona,W,2,98,49
5,2021-10-02,Oregon,@,Stanford,L,5,214,42.8
6,2021-10-15,Oregon,,California,W,2,103,51.5
7,2021-10-23,Oregon,@,UCLA,W,0,0,
8,2021-10-30,Oregon,,Colorado,W,0,0,
9,2021-11-06,Oregon,@,Washington,W,6,227,37.8
10,2021-11-13,Oregon,,Washington State,W,3,122,40.7
11,2021-11-20,Oregon,@,Utah,L,3,130,43.3
12,2021-11-27,Oregon,,Oregon State,W,1,36,36
13,2021-12-03,Oregon,N,Utah,L,4,178,44.5
14,2021-12-29,Oregon,N,Oklahoma*,L,3,144,48
1,2020-11-07,Oregon,,Stanford,W,1,51,51
2,2020-11-14,Oregon,@,Washington State,W,1,44,44
3,2020-11-21,Oregon,,UCLA,W,6,222,37
4,2020-11-27,Oregon,@,Oregon State,L,3,129,43
